Periodo fiscal;2011 FY;2012 FY;2013 FY;2014 FY;2015 FY;2016 FY;2017 FY;2018 FY;2019 FY;2020 FY;2021 FY;2022 FY;2023 FY;2024 FY;2025 FY
Fecha de cierre;31/12/2011;31/12/2012;31/12/2013;31/12/2014;31/12/2015;31/12/2016;31/12/2017;31/12/2018;31/12/2019;31/12/2020;31/12/2021;31/12/2022;31/12/2023;31/12/2024;31/12/2025
Divisa;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR;EUR
Venta de activos tangibles;;;;;;;;;3000000;7000000;1000000;;1000000;1000000;2000000
Adquisiciones;-299000000;-109000000;-192000000;-178000000;-179000000;-450000000;-313000000;-166000000;-34000000;-395000000;-108000000;-92000000;-61000000;-335000000;-871000000
Desinversiones;4000000;6000000;59000000;11000000;24000000;14000000;94000000;307000000;40000000;50000000;76000000;106000000;8000000;1000000;399000000
Otras actividades de inversión;25000000;-10000000;2000000;-25000000;-30000000;-9000000;20000000;-10000000;-209000000;13000000;-16000000;-18000000;2000000;1000000;1000000
Activos intangibles;;;;;;;;;-198000000;;;;;;
Inv. en valores negociables;;;35000000;;;;;;;;;;;;
Otras act. de inversión;25000000;-10000000;-33000000;-25000000;-30000000;-9000000;20000000;-10000000;-11000000;13000000;-16000000;-18000000;2000000;1000000;1000000
Flujo de inversión;-413000000;-257000000;-279000000;-340000000;-373000000;-669000000;-409000000;-83000000;-231000000;-563000000;-287000000;-299000000;-374000000;-646000000;-774000000
Flujo neto de deuda;-45000000;-176000000;330000000;-309000000;0;-3000000;479000000;-672000000;-3000000;59000000;332000000;433000000;-14000000;437000000;769000000
Deuda total emitida;127000000;;708000000;668000000;1000000;2000000;497000000;147000000;211000000;496000000;500000000;631000000;977000000;1237000000;1925000000
Deuda total pagada;-172000000;-176000000;-378000000;-977000000;-1000000;-5000000;-18000000;-819000000;-214000000;-437000000;-168000000;-198000000;-991000000;-800000000;-1156000000
Flujo neto de acciones;-100000000;-133000000;-27000000;-25000000;-140000000;-198000000;-302000000;-550000000;-350000000;-350000000;-410000000;-1000000000;-1000000000;-1000000000;-1096000000
Recompra de acciones comunes;-100000000;-133000000;-27000000;-25000000;-140000000;-198000000;-302000000;-550000000;-350000000;-350000000;-410000000;-1000000000;-1000000000;-1000000000;-1096000000
Dividendos totales;-127000000;-90000000;-204000000;-207000000;-263000000;-222000000;-229000000;-275000000;-279000000;-334000000;-372000000;-424000000;-467000000;-520000000;-563000000
Dividendos comunes;-127000000;-90000000;-204000000;-207000000;-263000000;-222000000;-229000000;-275000000;-279000000;-334000000;-372000000;-424000000;-467000000;-520000000;-563000000
Otras act. de financiación;;-2000000;;-22000000;20000000;4000000;-8000000;-2000000;1000000;-2000000;-1000000;;;-9000000;13000000
Flujo de financiación;-272000000;-401000000;99000000;-563000000;-383000000;-419000000;-60000000;-1499000000;-631000000;-627000000;-451000000;-991000000;-1481000000;-1092000000;-877000000
Ajustes por tipo de cambio;;1000000;-19000000;10000000;27000000;23000000;-109000000;9000000;15000000;-77000000;76000000;44000000;-31000000;40000000;-71000000
Variación neta de efectivo;-157000000;-67000000;428000000;-230000000;114000000;-138000000;362000000;-572000000;255000000;-70000000;630000000;336000000;-341000000;-44000000;-54000000
Efectivo y equiv. - Fin período;295000000;328000000;755000000;535000000;812000000;940000000;1020000000;783000000;899000000;723000000;1001000000;1346000000;1135000000;954000000;932000000
Var. capital circulante;-18000000;-44000000;79000000;-32000000;-113000000;-150000000;183000000;-297000000;143000000;-62000000;-78000000;-213000000;-57000000;-146000000;76000000
FCF apalancado;434875000;507625000;383625000;548625000;681625000;714000000;444125000;1011125000;622750000;832875000;911750000;1134875000;977750000;1157625000;985500000
FCF no apalancado;512375000;587625000;467375000;614250000;747875000;780875000;511000000;1061750000;672125000;882250000;953625000;1179875000;1033375000;1223250000;1063000000
FCF simple;385000000;446000000;479000000;515000000;655000000;703000000;730000000;787000000;1071000000;959000000;1052000000;1287000000;1221000000;1340000000;1363000000
Ingresos propios;528000000;590000000;627000000;663000000;843000000;927000000;940000000;1001000000;1102000000;1197000000;1292000000;1582000000;1545000000;1654000000;1668000000
Nº Acciones básicas;298400000;296900000;295700000;295900000;293600000;291600000;285100000;276700000;270300000;265000000;26.039.999.999.999.900;254700000;244900000;237500000;231000000
Nº Acciones diluidas;301500000;300700000;299500000;299900000;297400000;294600000;287700000;278800000;272200000;26.660.000.000.000.000;261800000;255800000;246000000;238400000;231800000
